"A�o","Mes","Fecha_Pub_DOF","Clave ciudad","Nombre ciudad","Divisi�n","Grupo","Clase","Subclase","Clave gen�rico","Gen�rico","Consecutivo","Especificaci�n","Precio promedio","Cantidad","Unidad","Estatus"
"2020","04","18/05/2020 12:00:00 a. m.","27","La Paz, B.C.S.","7. Educaci�n y esparcimiento","7.2. Esparcimiento","7.2.1. Servicios de esparcimiento","71 Otros servicios de esparcimiento","236","Servicio de internet","001","CAFE INTERNET, RENTA, POR 1 HORA","14","1","HORA",""
"2020","04","18/05/2020 12:00:00 a. m.","28","Chetumal, Q. Roo.","7. Educaci�n y esparcimiento","7.2. Esparcimiento","7.2.1. Servicios de esparcimiento","71 Otros servicios de esparcimiento","236","Servicio de internet","001","INTERNET, POR HORA","15","1","SERV",""
"2020","04","18/05/2020 12:00:00 a. m.","29","Jacona, Mich.","7. Educaci�n y esparcimiento","7.2. Esparcimiento","7.2.1. Servicios de esparcimiento","71 Otros servicios de esparcimiento","236","Servicio de internet","001","CAFE INTERNET, RENTA, POR HORA","15","1","HORA",""
"2020","04","18/05/2020 12:00:00 a. m.","29","Jacona, Mich.","7. Educaci�n y esparcimiento","7.2. Esparcimiento","7.2.1. Servicios de esparcimiento","71 Otros servicios de esparcimiento","236","Servicio de internet","002","CAFE INTERNET, RENTA, POR HORA","24","1","HORA",""
"2020","04","18/05/2020 12:00:00 a. m.","30","Fresnillo, Zac.","7. Educaci�n y esparcimiento","7.2. Esparcimiento","7.2.1. Servicios de esparcimiento","71 Otros servicios de esparcimiento","236","Servicio de internet","001","CAFE INTERNET, RENTA, POR HORA","13","1","HORA",""
"2020","04","18/05/2020 12:00:00 a. m.","31","Iguala, Gro.","7. Educaci�n y esparcimiento","7.2. Esparcimiento","7.2.1. Servicios de esparcimiento","71 Otros servicios de esparcimiento","236","Servicio de internet","001","AT & T, INTERNET, MOVIL, RENTA MENSUAL, 1 GB","200","1","SERV",""
"2020","04","18/05/2020 12:00:00 a. m.","32","Huatabampo, Son.","7. Educaci�n y esparcimiento","7.2. Esparcimiento","7.2.1. Servicios de esparcimiento","71 Otros servicios de esparcimiento","236","Servicio de internet","001","INTERNET, RENTA POR HORA","10","1","SERV",""
"2020","04","18/05/2020 12:00:00 a. m.","33","Tulancingo, Hgo.","7. Educaci�n y esparcimiento","7.2. Esparcimiento","7.2.1. Servicios de esparcimiento","71 Otros servicios de esparcimiento","236","Servicio de internet","001","CAFE INTERNET , 1 HORA DE INTERNET","10","1","RENTA",""
"2020","04","18/05/2020 12:00:00 a. m.","33","Tulancingo, Hgo.","7. Educaci�n y esparcimiento","7.2. Esparcimiento","7.2.1. Servicios de esparcimiento","71 Otros servicios de esparcimiento","236","Servicio de internet","002","TELCEL, INTERNET, EN TU CASA, 75000 MB, 5 MBPS, MENSUALIDAD","299","1","SERV",""
"2020","04","18/05/2020 12:00:00 a. m.","34","Cortazar, Gto.","7. Educaci�n y esparcimiento","7.2. Esparcimiento","7.2.1. Servicios de esparcimiento","71 Otros servicios de esparcimiento","236","Servicio de internet","001","SM, CAF� INTERNET, RENTA DE EQUIPO  POR HR","10","1","RENTA",""
