Anio,Mes,Clave ciudad,limon,leche,camaron,tortillas,electricidad,alquiler,frijol,pollo,Fecha,suma,categoria,Season
2021,8,3,22.5,20.0,307.0,11.7,459.04,101.17,49.56,110.0,2021-08-01,1080.97,1,3
2021,8,4,33.65,12.17,365.0,12.5,459.04,107.64,38.33,47.0,2021-08-01,1075.33,1,3
2021,8,5,32.65,20.1,365.0,19.0,212.63,105.31,62.53,104.24,2021-08-01,921.46,1,3
2021,8,6,32.65,19.15,250.0,24.0,155.76,106.81,49.9,134.9,2021-08-01,773.17,2,3
2021,8,7,33.99,22.25,284.99,17.0,194.59,105.39,27.99,28.65,2021-08-01,714.85,3,3
2021,8,8,18.5,23.1,399.0,24.0,216.25,106.37,36.0,120.0,2021-08-01,943.22,1,3
2021,8,9,26.75,17.22,200.0,21.75,167.3,111.53,25.72,140.0,2021-08-01,710.2700000000001,3,3
2021,8,10,27.58,19.0,379.0,20.0,459.04,105.79,63.47,94.0,2021-08-01,1167.8799999999999,1,3
2021,8,11,25.5,21.69,249.75,13.0,459.04,108.54,45.0,100.0,2021-08-01,1022.52,1,3
2021,8,12,33.71,20.73,186.0,16.0,459.04,109.27,49.3,92.75,2021-08-01,966.8,1,3
2021,8,13,15.9,18.9,200.0,19.0,350.76,109.9,28.89,69.9,2021-08-01,813.2499999999999,3,3
2021,8,14,34.4,22.7,203.5,16.0,459.04,103.71,25.33,75.0,2021-08-01,939.6800000000002,1,3
2021,8,15,26.9,24.0,234.4,17.5,212.63,107.36,37.93,82.6,2021-08-01,743.32,3,3
2021,8,16,7.43,15.65,317.0,23.0,212.63,105.48,37.5,72.5,2021-08-01,791.19,2,3
2021,8,17,33.4,22.88,292.25,20.0,167.3,101.78,40.0,100.0,2021-08-01,777.6099999999999,2,3
2021,8,18,25.0,30.6,289.0,22.0,212.63,106.2,34.44,32.0,2021-08-01,751.8700000000001,3,3
2021,8,19,33.9,22.0,305.0,20.0,209.0,111.25,31.9,139.9,2021-08-01,872.9499999999999,2,3
2021,8,20,30.65,17.04,260.0,12.5,167.3,107.17,31.9,31.9,2021-08-01,658.4599999999999,3,3
2021,8,21,25.88,27.0,197.5,25.0,209.0,106.66,44.99,139.9,2021-08-01,775.93,3,3
2021,8,22,25.43,21.38,180.0,15.0,459.04,105.55,34.1,65.0,2021-08-01,905.5,2,3
2021,8,23,27.88,19.0,365.0,20.0,459.04,104.93,29.0,92.4,2021-08-01,1117.2500000000002,1,3
2021,8,24,28.08,23.6,255.0,22.0,427.38,113.31,43.22,122.55,2021-08-01,1035.1399999999999,1,3
2021,8,25,29.58,23.95,221.25,21.0,194.59,107.95,31.67,30.5,2021-08-01,660.49,3,3
2021,8,26,16.5,13.5,250.0,18.5,216.25,104.33,40.91,120.0,2021-08-01,779.99,3,3
2021,8,27,33.7,21.57,235.75,23.0,167.3,105.57,39.7,65.9,2021-08-01,692.49,3,3
2021,8,28,21.2,24.11,319.0,20.0,197.96,105.58,33.0,65.0,2021-08-01,785.85,2,3
2021,8,29,27.35,21.8,201.5,23.0,459.04,112.01,32.43,100.0,2021-08-01,977.13,1,3
2021,8,30,16.25,47.5,265.0,17.0,459.04,106.25,25.0,99.9,2021-08-01,1035.94,1,3
2021,8,31,27.65,21.75,191.25,25.0,212.63,107.37,37.88,39.4,2021-08-01,662.93,3,3
2021,8,32,30.8,19.05,189.57,23.0,167.3,104.97,62.83,79.0,2021-08-01,676.52,3,3
2021,8,33,40.4,21.25,175.0,17.0,459.04,104.33,38.33,75.0,2021-08-01,930.3500000000001,2,3
2021,8,34,27.63,20.2,270.0,20.0,459.04,103.88,30.0,75.0,2021-08-01,1005.75,1,3
2021,8,35,22.5,25.0,369.9,20.0,209.0,110.1,26.15,40.0,2021-08-01,822.65,2,3
2021,8,36,29.8,16.65,239.9,16.0,459.04,107.91,25.33,64.0,2021-08-01,958.6300000000001,2,3
2021,8,37,16.4,11.38,257.4,22.0,409.89,106.39,36.0,66.0,2021-08-01,925.4599999999999,2,3
2021,8,38,17.88,31.75,172.0,19.5,459.04,108.12,26.37,74.9,2021-08-01,909.5600000000001,2,3
2021,8,39,23.0,23.0,374.0,20.0,459.04,105.68,24.25,50.68,2021-08-01,1079.65,1,3
2021,8,40,37.15,15.45,320.0,19.0,435.52,102.3,30.0,55.0,2021-08-01,1014.42,1,3
2021,8,41,19.5,22.0,299.0,14.0,459.04,104.08,36.0,94.0,2021-08-01,1047.62,1,3
2021,8,42,25.0,11.0,280.0,16.0,216.25,106.08,28.89,72.9,2021-08-01,756.12,3,3
2021,8,43,5.25,23.5,100.0,19.99,212.63,105.7,33.33,95.0,2021-08-01,595.4,3,3
2021,8,44,16.25,15.93,235.0,20.0,459.04,113.52,32.93,29.45,2021-08-01,922.12,2,3
2021,8,45,21.0,21.5,187.5,16.21,212.63,100.19,44.0,72.0,2021-08-01,675.03,3,3
2021,8,46,26.74,19.05,309.0,11.7,155.76,111.7,31.17,125.0,2021-08-01,790.12,2,3
2021,8,47,29.35,23.0,245.0,16.0,459.04,105.19,29.0,58.5,2021-08-01,965.0800000000002,1,3
2021,8,48,20.95,23.25,270.0,22.0,212.63,107.28,53.89,55.0,2021-08-01,764.9999999999999,3,3
2021,8,49,17.98,16.85,215.0,14.0,212.63,103.49,32.0,99.0,2021-08-01,710.9499999999999,3,3
2021,8,50,32.38,21.0,194.0,22.0,167.3,106.64,29.38,156.5,2021-08-01,729.2,3,3
2021,8,51,26.25,21.0,197.5,15.0,459.04,101.69,23.75,72.0,2021-08-01,916.23,2,3
2021,8,52,32.9,22.75,170.0,18.0,459.04,104.08,35.0,64.0,2021-08-01,905.7700000000001,2,3
2021,8,53,24.75,21.5,309.0,20.5,459.04,106.61,25.91,60.5,2021-08-01,1027.81,1,3
2021,8,54,19.65,19.0,140.0,19.0,216.25,103.16,29.5,56.25,2021-08-01,602.81,3,3
2021,8,55,28.5,13.75,195.0,16.0,459.04,104.39,36.94,68.0,2021-08-01,921.6199999999999,2,3
2021,9,1,41.2,25.0,220.0,18.0,460.22,109.27,25.67,95.0,2021-09-01,994.36,1,4
2021,9,2,23.4,23.5,199.25,22.0,213.15,104.86,65.82,110.0,2021-09-01,761.98,2,4
2021,9,3,22.25,20.0,289.25,12.2,460.22,101.17,53.06,110.0,2021-09-01,1068.15,1,4
2021,9,4,36.65,12.17,365.0,12.5,460.22,107.9,38.33,42.25,2021-09-01,1075.02,1,4
2021,9,5,35.15,19.97,365.0,19.0,213.15,105.46,60.94,107.24,2021-09-01,925.9100000000001,1,4
2021,9,6,38.15,19.15,250.0,24.0,156.25,106.81,49.9,136.15,2021-09-01,780.41,2,4
2021,9,7,36.74,23.0,267.49,17.0,195.08,105.69,28.74,26.9,2021-09-01,700.64,3,4
2021,9,8,20.0,24.53,399.0,24.0,216.78,106.66,36.0,107.5,2021-09-01,934.4699999999999,1,4
2021,9,9,29.5,17.18,200.0,22.0,167.82,111.89,25.33,140.0,2021-09-01,713.72,3,4
2021,9,10,37.83,19.0,384.0,20.0,460.22,105.92,63.89,95.5,2021-09-01,1186.3600000000001,1,4
2021,9,11,28.25,21.69,252.0,12.0,460.22,108.46,45.0,98.75,2021-09-01,1026.3700000000001,1,4
2021,9,12,34.95,19.9,186.0,16.0,460.22,109.48,48.24,91.5,2021-09-01,966.2900000000001,1,4
